Runing on: gpu08
Epoch:  69 | training loss: 0.6993 | training accuracy: 0.8868 | val accuracy: 0.8392
Epoch:  70 | training loss: 0.6232 | training accuracy: 0.8894 | val accuracy: 0.8689
Epoch:  70 | training loss: 0.1508 | training accuracy: 0.8883 | val accuracy: 0.8462
Epoch:  71 | training loss: 0.0132 | training accuracy: 0.8926 | val accuracy: 0.8462
Epoch:  71 | training loss: 0.3968 | training accuracy: 0.8884 | val accuracy: 0.8462
Epoch:  72 | training loss: 1.1524 | training accuracy: 0.8858 | val accuracy: 0.8531
Epoch:  72 | training loss: 0.0327 | training accuracy: 0.8851 | val accuracy: 0.8549
Epoch:  73 | training loss: 1.6716 | training accuracy: 0.8882 | val accuracy: 0.8584
Epoch:  73 | training loss: 0.1630 | training accuracy: 0.8898 | val accuracy: 0.8497
Epoch:  74 | training loss: 0.0845 | training accuracy: 0.8897 | val accuracy: 0.8531
Epoch:  74 | training loss: 0.2163 | training accuracy: 0.8889 | val accuracy: 0.8409
Epoch:  75 | training loss: 0.1451 | training accuracy: 0.8989 | val accuracy: 0.8392
Epoch:  75 | training loss: 0.0255 | training accuracy: 0.8900 | val accuracy: 0.8636
Epoch:  76 | training loss: 0.1634 | training accuracy: 0.8911 | val accuracy: 0.8671
Epoch:  76 | training loss: 0.3813 | training accuracy: 0.8854 | val accuracy: 0.8462
Epoch:  77 | training loss: 0.0449 | training accuracy: 0.8933 | val accuracy: 0.8636
Epoch:  77 | training loss: 0.0884 | training accuracy: 0.8897 | val accuracy: 0.8427
Epoch:  78 | training loss: 1.3432 | training accuracy: 0.8952 | val accuracy: 0.8409
Epoch:  78 | training loss: 0.1357 | training accuracy: 0.8926 | val accuracy: 0.8584
Epoch:  79 | training loss: 0.6339 | training accuracy: 0.8945 | val accuracy: 0.8357
Epoch:  79 | training loss: 0.5574 | training accuracy: 0.8943 | val accuracy: 0.8671
Epoch:  80 | training loss: 0.0058 | training accuracy: 0.8974 | val accuracy: 0.8619
Epoch:  80 | training loss: 0.1370 | training accuracy: 0.8894 | val accuracy: 0.8601
Epoch:  81 | training loss: 0.3591 | training accuracy: 0.8923 | val accuracy: 0.8549
Epoch:  81 | training loss: 0.7820 | training accuracy: 0.8933 | val accuracy: 0.8339
Epoch:  82 | training loss: 0.2817 | training accuracy: 0.8907 | val accuracy: 0.8531
Epoch:  82 | training loss: 0.0008 | training accuracy: 0.8976 | val accuracy: 0.8549
